Algorithm,Instance,Instance Size,Run,Final Value,Deviation
ils,data/Benchmarks/ta060,50,8,125623,1.3464672378462978
ils,data/Benchmarks/ta060,50,9,125542,1.2811204156380591
ils,data/Benchmarks/ta060,50,10,125645,1.364215757458412
genetic,data/Benchmarks/ta060,50,1,125555,1.2916081772270358
genetic,data/Benchmarks/ta060,50,2,125135,0.952772802813947
genetic,data/Benchmarks/ta060,50,3,125243,1.0399018990915985
genetic,data/Benchmarks/ta060,50,4,125163,0.9753618277748196
genetic,data/Benchmarks/ta060,50,5,125454,1.2101263371896025
genetic,data/Benchmarks/ta060,50,6,124910,0.7712538522355067
genetic,data/Benchmarks/ta060,50,7,125096,0.9213095180470174
genetic,data/Benchmarks/ta060,50,8,125562,1.2972554334672541
genetic,data/Benchmarks/ta060,50,9,124736,0.6308791971215129
genetic,data/Benchmarks/ta060,50,10,124670,0.5776336382851703
ils,data/Benchmarks/ta081,100,1,372121,1.8217986499317305
ils,data/Benchmarks/ta081,100,2,373509,2.2015908587189403
ils,data/Benchmarks/ta081,100,3,373475,2.1922875913567177
ils,data/Benchmarks/ta081,100,4,372623,1.9591586562798424
ils,data/Benchmarks/ta081,100,5,373321,2.1501492627160617
ils,data/Benchmarks/ta081,100,6,372838,2.017988141070368
ils,data/Benchmarks/ta081,100,7,373734,2.263156598616002
ils,data/Benchmarks/ta081,100,8,372325,1.8776182541050668
ils,data/Benchmarks/ta081,100,9,373261,2.133731732076845
ils,data/Benchmarks/ta081,100,10,372671,1.9722926807912156
genetic,data/Benchmarks/ta081,100,1,371466,1.6425739404536164
genetic,data/Benchmarks/ta081,100,2,372520,1.9309752286825206
genetic,data/Benchmarks/ta081,100,3,372607,1.9547806481093846
genetic,data/Benchmarks/ta081,100,4,372346,1.8833643898287924
genetic,data/Benchmarks/ta081,100,5,372426,1.9052544306810815
genetic,data/Benchmarks/ta081,100,6,373273,2.1370152382046883
genetic,data/Benchmarks/ta081,100,7,371771,1.7260297212029672
