Algorithm,Instance,Instance Size,Run,Final Value,Deviation
genetic,data/Benchmarks/ta086,100,2,377046,1.654857808405319
genetic,data/Benchmarks/ta086,100,3,377278,1.7174070119814078
genetic,data/Benchmarks/ta086,100,4,377570,1.7961327337237265
genetic,data/Benchmarks/ta086,100,5,378327,2.000226471254327
genetic,data/Benchmarks/ta086,100,6,377356,1.7384364855975067
genetic,data/Benchmarks/ta086,100,7,378449,2.0331187248589946
genetic,data/Benchmarks/ta086,100,8,379135,2.218070249226223
genetic,data/Benchmarks/ta086,100,9,377649,1.8174318159759295
genetic,data/Benchmarks/ta086,100,10,378319,1.9980696021654965
genetic,data/Benchmarks/ta088,100,1,390881,1.6529484428840775
genetic,data/Benchmarks/ta088,100,2,389913,1.4012092841817827
genetic,data/Benchmarks/ta088,100,3,390143,1.461023340485014
genetic,data/Benchmarks/ta088,100,4,390880,1.652688381769716
genetic,data/Benchmarks/ta088,100,5,390337,1.5114751966712177
genetic,data/Benchmarks/ta088,100,6,389584,1.3156491775567258
genetic,data/Benchmarks/ta088,100,7,391329,1.7694558221181977
genetic,data/Benchmarks/ta088,100,8,388977,1.1577920811390676
genetic,data/Benchmarks/ta088,100,9,389940,1.4082309342695534
genetic,data/Benchmarks/ta088,100,10,390040,1.4342370457057407
genetic,data/Benchmarks/ta083,100,1,374890,1.314228421169266
genetic,data/Benchmarks/ta083,100,2,375670,1.5250238496109743
genetic,data/Benchmarks/ta083,100,3,375391,1.449623946360671
genetic,data/Benchmarks/ta083,100,4,374993,1.3420642277455428
genetic,data/Benchmarks/ta083,100,5,376578,1.7704113483610655
genetic,data/Benchmarks/ta083,100,6,375596,1.5050253089639405
genetic,data/Benchmarks/ta083,100,7,377089,1.9085093790453127
genetic,data/Benchmarks/ta083,100,8,376734,1.8125704340494073
genetic,data/Benchmarks/ta083,100,9,374867,1.3080126585357283
genetic,data/Benchmarks/ta083,100,10,376331,1.7036594626878578
genetic,data/Benchmarks/ta082,100,1,378488,1.7438125166330198
genetic,data/Benchmarks/ta082,100,2,379320,1.9674678293875554
genetic,data/Benchmarks/ta082,100,3,379598,2.042198811293518
genetic,data/Benchmarks/ta082,100,4,377494,1.476608933846952
genetic,data/Benchmarks/ta082,100,5,379214,1.9389732823298862
genetic,data/Benchmarks/ta082,100,6,377895,1.5844043429990782
genetic,data/Benchmarks/ta082,100,7,379169,1.9268765406544608
genetic,data/Benchmarks/ta082,100,8,380608,2.3137034577864037
genetic,data/Benchmarks/ta082,100,9,378011,1.6155870548735085
genetic,data/Benchmarks/ta082,100,10,379483,2.0112849159007635
ils,data/Benchmarks/ta055,50,1,119663,1.2514384349827388
ils,data/Benchmarks/ta055,50,2,119628,1.2218235971028228
ils,data/Benchmarks/ta055,50,3,119442,1.0644418872266974
ils,data/Benchmarks/ta055,50,4,119680,1.2658227848101267
ils,data/Benchmarks/ta055,50,5,119716,1.2962837609151832
ils,data/Benchmarks/ta055,50,6,119822,1.3859744127800717
